序号,名称,播放,弹幕数,收藏,硬币,是否完结,评分(默认0分),评分人数(人数不足为0人)
818,零之使魔,5598383,515436,521504,10683,1,9.2,782
819,零之使魔 双月骑士,4291346,189788,402135,15645,1,9.2,409
820,零之使魔 三美姬的轮舞,4090840,162653,369820,7362,1,8.9,264
821,零之使魔F,7375468,171580,390451,13971,1,9.2,431
825,BRAVE10 真田十勇士,835677,40761,81945,237,1,0.0,0
826,罗马浴场,177751,18199,3825,76,1,0.0,0
827,足球骑士,768951,13717,22827,247,1,0.0,0
829,极乐院女子高寮物语,443453,21221,9941,214,1,0.0,0
830,武装中学生,154127,10688,3042,33,1,0.0,0
831,OZUMA,71135,4238,6504,65,1,0.0,0
835,我们仍未知道那天所看见的花的名字。,16994573,1805038,1463325,102211,1,9.1,5484
836,命运石之门,18904209,1438262,1266434,84013,1,9.8,14553
842,笨蛋，测验，召唤兽,10010350,686448,590565,16015,1,9.5,1954
843,笨蛋，测验，召唤兽2,15735948,279103,617614,21061,1,9.4,889
844,日常,28335424,891530,1374048,65463,1,9.8,7479
845,花开伊吕波,2954622,368390,286138,8485,1,9.5,1176
846,电波女与青春男,4533614,399712,320089,7446,1,9.3,789
853,迷茫管家与懦弱的我,12498041,501013,472295,17359,1,9.4,1226
855,回转企鹅罐,3015639,118763,285482,9338,1,9.4,468
856,GOSICK,4699549,645097,295984,14741,1,9.7,3160
857,好想告诉你 第一季,4569900,389632,507045,7209,1,9.6,582
858,好想告诉你 第二季,3478456,159050,205122,5035,1,9.6,327
861,青之驱魔师,11771614,463398,451315,9514,1,8.9,915
862,丹特丽安的书架,2023665,150127,127054,2619,1,9.6,640
863,[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,2993672,299574,105506,3844,1,9.2,539
864,便·当,2575951,113847,147526,2346,1,9.3,362
865,食梦者玛利,436807,77207,16521,553,1,0.0,0
866,迷糊餐厅 WORKING!!,1828828,334209,87513,2321,1,9.5,723
867,迷糊餐厅 WORKING’!!,4532554,130062,166529,5563,1,9.4,404
868,纯白交响曲,4753766,256142,311893,8202,1,9.1,433
869,UN-GO ,1155699,118247,42133,1621,1,9.4,182
870,UN-GO 日记短片,114542,8922,543,40,1,0.0,0
871,UN-GO episode: 0 因果论,137680,14510,6988,521,1,0.0,0
875,请认真和我恋爱！！,5860977,334889,167422,3583,1,8.6,254
876,最终流放-银翼之法姆-,436247,15113,47143,502,1,0.0,0
877,全职猎人,6730049,275382,458997,7132,1,9.7,1188
879,猎人 剧场版 绯色的幻影,245493,46729,13597,579,1,0.0,0
887,无口的森田小姐,371805,26520,12085,259,1,0.0,0
888,无口的森田小姐 2,0,7984,0,0,1,0.0,0
889,魔法小恶魔！,1267356,21616,14247,295,1,0.0,0
892,战国☆天堂 -极-,121411,7525,2329,16,1,0.0,0
893,白兔糖,901881,247847,51481,4563,1,9.7,749
894,白兔糖 特典,353607,28032,5783,676,1,9.7,110
897,神的记事本,6239670,451818,264390,5582,1,8.8,647
898,神样DOLLS,124466,15352,9996,173,1,0.0,0
899,滑头鬼之孙,4928983,291142,265465,5175,1,9.3,622
900,滑头鬼之孙～千年魔京～,9662698,124099,280653,4756,1,9.5,478
901,SACRED SEVEN,709205,38114,71017,322,1,0.0,0
902,曾几何时天魔的黑兔,1468712,179194,114678,1936,1,7.7,177
904,猫神八百万,279350,50231,11549,591,1,0.0,0
905,R-15,2074451,146677,168903,1246,1,8.3,120
906,快盗天使TWIN ANGEL,188603,18110,23065,164,1,0.0,0
907,吸血猫,865746,35158,24541,247,1,0.0,0
908,DOUBLE-J,136575,7666,5772,59,1,0.0,0
909,刀锋战士,121061,7732,6507,37,1,0.0,0
910,COPIHAN,71985,10546,2200,27,1,0.0,0
912,怪物猎人日记 岌岌可危的猫猫村G,152147,6024,5375,49,1,0.0,0
915,A CHANNEL,703173,75813,65850,1533,1,9.4,190
916,A频道+smile,131284,11375,3754,383,1,0.0,0
919,架向星空之桥,1653886,211975,165140,4067,1,8.7,275
920,玛莉亚†狂热,887189,83832,37114,1074,1,9.2,194
921,玛莉亚†狂热 第二季,992940,29482,68608,803,1,9.2,130
922,我们没有翅膀,1234568,185135,63604,2099,1,9.5,530
923,露蒂的玩具,1623343,161645,132581,2817,1,8.7,282
926,47都道府犬,52867,5112,1698,53,1,0.0,0
929,战国鬼才传,340787,6170,34666,630,1,0.0,0
930,+TIC模型姐妹,645753,48931,14381,735,1,9.6,229
933,迷糊软网社,203355,9621,27245,95,1,0.0,0
936,和殿下一起 1分钟剧场,46280,6543,721,21,1,0.0,0
937,和殿下一起～眼罩之野心～,27814,2575,952,13,1,0.0,0
938,真的有呀！灵媒先生,335956,29043,4397,301,1,0.0,0
941,DORORON炎魔君 熊熊燃烧,151983,5673,15104,48,1,0.0,0
944,X战警,78352,12684,2338,14,1,0.0,0
945,苏希的动物园,33927,1969,884,14,1,0.0,0
946,腹黑妹妹控兄记,2382349,199099,147164,2977,1,8.5,296
947,LEVEL E,1473521,79080,72229,1374,1,9.6,287
949,超元气三姐妹,784978,120750,43759,1044,1,9.6,509
951,放浪男孩,1239561,45872,37122,982,1,9.2,115
952,恶魔奶爸,6379707,315637,266139,9031,1,9.6,775
953,分形世界,124754,29533,6049,225,1,0.0,0
954,STARRY☆SKY,398460,74723,11160,284,1,0.0,0
955,RIO RAINBOW GATE!,117856,18632,2951,56,1,0.0,0
956,金刚狼,88910,6989,3746,24,1,0.0,0
957,麻衣的魔法和家庭日,15618,2329,266,14,1,0.0,0
958,万能蔬菜卜卜侠,11858,672,1229,6,1,0.0,0
963,魔法禁书目录 第一季,16141506,1183575,1548962,55190,1,8.6,1924
964,魔法禁书目录 第二季,9704534,528233,980156,36946,1,8.7,1349
965,魔法禁书目录 剧场版,2206467,228870,202247,14806,1,8.7,534
969,会长是女仆大人！,11874779,631053,467608,15293,1,9.7,1650
971,天降之物,9616769,742522,716423,21540,1,9.6,1878
972,天降之物f,13215917,291038,381308,28257,1,9.6,851
973,天降之物Final 我永远的鸟笼,655260,148073,31541,6121,1,9.6,535
977,吊带袜天使,4539567,270418,185906,5875,1,9.7,1564
978,荒川爆笑团,1083655,251624,36537,2158,1,9.6,960
979,荒川爆笑团2,214628,83467,8770,802,1,9.5,597
980,MM一族,2621535,310893,204573,4685,1,9.4,675
981,大神与七位伙伴,1929524,189041,145033,3438,1,9.3,393
982,花丸幼稚园,1721999,164530,133127,3079,1,9.4,288
983,刀语,1441096,147087,91774,2311,1,9.6,442
984,传说中勇者的传说,2998328,256861,117410,4361,1,9.6,760
988,尸鬼,5557676,391003,542863,7475,1,9.3,1469
990,迷途猫OVERRUN！,2455168,315081,180022,4353,1,8.7,298
991,守护猫娘绯鞠,2595951,292088,154474,4943,1,8.8,308
992,女仆咖啡厅,542150,37032,32875,662,1,9.5,181
994,STAR DRIVER 闪亮的塔科特,576046,50080,34415,529,1,9.4,214
995,海月姬,329252,23775,22804,360,1,9.5,134
996,FORTUNE ARTERIAL -赤之约定-,1177978,125680,66233,1704,1,9.0,169
1000,梦色蛋糕师,2248245,105189,143098,2603,1,9.6,271
1001,超级机器人大战OG -DIVINE WARS- 第一季,191110,9892,8405,75,1,0.0,0
1002,超级机器人大战OG -DIVINE WARS- 第二季,215728,6707,11170,90,1,0.0,0
1003,咎狗之血,1372520,194262,102291,872,1,8.1,102
1004,钢铁侠,187872,8886,4970,33,1,0.0,0
1006,一期一会~你的话语~,37631,9197,837,60,1,0.0,0
1007,面包咪咪,18875,5970,159,10,1,0.0,0
1015,王牌投手 振臂高挥,913597,37888,99157,1057,1,9.6,179
1016,王牌投手 振臂高挥～夏日大会篇～,182333,13945,10542,154,1,0.0,0
1018,二舍六房的七人,1054072,76509,66230,4729,1,9.6,391
1020,逆转监督,466711,29873,21102,704,1,0.0,0
1021,无法逃离的背叛,1494208,156645,158633,1318,1,8.9,146
1026,HEROMAN,132823,12659,8232,126,1,0.0,0
1027,棒球大联盟 第一季,693241,11614,35501,670,1,0.0,0
1028,棒球大联盟 第二季,218964,3486,8270,91,1,0.0,0
1029,棒球大联盟 第三季,191092,3099,8768,94,1,0.0,0
1030,棒球大联盟 第四季,166786,3091,5383,99,1,0.0,0
1031,棒球大联盟 第五季,197545,2996,5219,101,1,0.0,0
1032,棒球大联盟 第六季,184987,3936,4833,119,1,0.0,0
1034,极上！！超人气委员长,491542,24935,10028,156,1,0.0,0
1036,变身！公主偶像,439414,49254,22325,277,1,0.0,0
1039,交响情人梦,1376069,109684,57744,1489,1,9.6,231
1040,交响情人梦 巴黎篇,469592,25975,23525,542,1,0.0,0
1041,交响情人梦Finale,478095,35413,19694,532,1,9.7,102
1049,由土里酱,51760,8656,1534,45,1,0.0,0
1050,青春CUP,99742,16838,4744,114,1,0.0,0
1051,怪盗丽奈,32371,4450,447,30,1,0.0,0
1056,凉宫春日的忧郁 2006版,1409255,196171,60423,1671,1,9.5,774
1057,凉宫春日的忧郁 2009版,2514739,262187,192239,7204,1,9.6,1822
1062,乃木坂春香的秘密,1518011,154848,127994,2560,1,8.8,119
1063,乃木坂春香的秘密 purezza♪,761871,41338,81200,1386,1,0.0,0
1064,DARKER THAN BLACK -黑之契约者-,2594294,643038,134186,5459,1,9.7,2104
1065,DARKER THAN BLACK -流星的双子-,689782,154644,42861,2409,1,9.5,974
1066,DARKER THAN BLACK -黑之契约者- 外传,286949,99968,12683,1708,1,9.6,378
1071,狼与香辛料,2338308,534390,121657,9803,1,9.7,2507
1072,狼与香辛料 第二季,1222931,190935,92995,7348,1,9.7,1945
1073,潘朵拉之心,1993527,261591,108595,3721,1,9.4,622
