序号,名称,播放,弹幕数,收藏,硬币,评分(默认0分),评分人数(人数不足为0人),是否完结
4020,宇宙战舰大和号 新的旅程,20639,0,3,1495,0.0,0,1
4021,真救世主传说 北斗神拳 托奇传,0,0,0,2079,0.0,0,1
4022,宇宙战舰大和号 完结篇,40679,479,10,1474,0.0,0,1
4023,宇宙战舰大和号 复活篇,31148,0,8,1520,0.0,0,1
4024,真救世主传说 北斗神拳 尤莉娅传,0,0,0,1690,0.0,0,1
4025,真救世主传说 北斗神拳ZERO 拳四郎传,206651,10622,258,2783,0.0,0,1
4026,Re：从零开始休息时间,20498754,145886,18850,190987,8.9,271,1
4027,真救世主传说 北斗神拳 拉欧传 殉爱之章,0,0,0,2476,0.0,0,1
4028,BURN-UP EXCESS,38233,626,25,6172,0.0,0,1
4029,神秘的世界EL-HAZARD  OVA,0,0,0,1955,0.0,0,1
4030,异次元的世界 El Hazard,0,0,0,1636,0.0,0,1
4031,神秘的世界 EL-HAZARD 2  OVA,0,0,0,739,0.0,0,1
4032,心灵想要大声呼喊,181155,13335,1822,173281,9.2,1044,1
4033,RWBY Chibi,3086224,15003,4428,38306,9.7,160,1
4034,四驱兄弟WGP 暴走四驱大追踪,140251,7045,130,4318,0.0,0,1
4035,四驱兄弟MAX,621972,19927,255,8703,0.0,0,1
4036,苍之流星SPT雷兹纳 OVA,9813,162,8,396,0.0,0,1
4040,宇宙战舰山本洋子II,0,0,0,439,0.0,0,1
4044,超音战士Borgman Lovers Rain,58489,2116,47,465,0.0,0,1
4046,剧场版 虽然是玻璃假面,25933,1301,48,890,0.0,0,1
4047,银河冒险战记 胎动篇,26729,80,13,1711,0.0,0,1
4048,银河冒险战记 激斗篇,19707,36,4,2229,0.0,0,1
4049,橙路 ~接着，那个夏天开始~,168403,17036,229,2370,0.0,0,1
4050,To Heart2 Another Day,0,0,0,11008,0.0,0,1
4051,To Heart2 Adplus,0,0,0,11308,0.0,0,1
4052,To Heart2 Adnext,0,0,0,6437,0.0,0,1
4053,To Heart2 迷宫旅行者,0,0,0,8873,0.0,0,1
4054,巴比伦二世 OVA,6765,37,2,603,0.0,0,1
4056,机甲创世记 OVA,0,0,0,685,0.0,0,1
4058,巴哈姆特之怒 GENESIS,1514936,47619,3030,184497,9.3,543,1
4060,笑对阴天,421711,15645,864,88748,9.5,267,1
4062,Happiness Charge 光之美少女！人偶之国的芭蕾舞者,62057,3129,82,3210,0.0,0,1
4067,寻找失去的未来,785757,40130,1621,181096,9.0,264,1
4068,寻找失去的未来 OVA,130865,1253,165,21137,0.0,0,1
4070,元气囝仔,712476,30587,2842,124941,9.7,917,1
4075,生存游戏社 OVA,493677,8089,500,20990,0.0,0,1
4081,LOVE STAGE!! OAD,816266,39138,529,64850,0.0,0,1
4083,笨蛋男友,353547,6005,197,33937,0.0,0,1
4084,终结的炽天使 SP2 终结不了的炽天使 名古屋篇,1695816,20553,1251,49537,0.0,0,1
4086,囝仔小短篇,171136,1205,165,19598,0.0,0,1
4093,至高指令 OAD,263667,5174,100,42598,0.0,0,1
4098,尸者的帝国,861574,39732,4738,69635,8.9,215,1
4099,寿司忍者,7039,305,9,644,0.0,0,1
4106,为什么猫都叫不来,891568,1721,529,46327,9.0,160,1
4107,皮卡丘，这是什么的钥匙？,128953,1720,142,5884,0.0,0,1
4108,苍穹之法芙娜EXODUS,104040,4961,367,13897,9.7,255,1
4113,虫奉行OVA,280238,4655,89,13068,0.0,0,1
4114,少女与战车 剧场版,540229,28669,2736,50531,9.7,1094,1
4117,香菜酱和她的亲人们,59732,1229,123,4237,0.0,0,1
4119,面包超人：咪嘉和魔法神灯,46481,211,12,1761,0.0,0,1
4120,三坪房间的侵略者！,556885,22456,4155,75379,9.6,845,1
4124,普通女高中生要做当地偶像,186499,10097,565,33872,9.5,143,1
4125,普通女高中生要做当地偶像 OVA,39387,1276,175,5893,0.0,0,1
4134,热血人面犬,62108,759,14,2805,0.0,0,1
4137,精灵使的剑舞,3951256,309192,11106,489995,8.6,760,1
4140,告白实行委员会 我于此刻恋上你,0,0,0,72743,9.2,113,1
4148,第三飞行少女队,173949,8186,681,9299,0.0,0,1
4152,尽管如此世界依然美丽,967474,60210,3763,189394,9.6,838,1
4153,故事少女穗乃花,46803,559,47,7321,0.0,0,1
4155,玉子爱情故事,970511,48628,5520,303335,9.7,1347,1
4161,学园怪物！～狼男少女不会屈服～,43767,1355,57,6180,0.0,0,1
4168,好朋友,71887,795,185,5286,0.0,0,1
4181,漆黑的子弹,3505214,256160,10860,453469,9.0,1331,1
4187,約會大作戰 第二季 （僅限港澳台地區）,205551,22349,871,201874,8.0,791,1
4188,约会大作战,10647357,971364,30587,1132386,8.8,3134,1
4194,钻石王牌 ～Second Season～,234376,25227,540,8943,9.6,186,1
4201,如果她的旗帜被折断了,1240830,104341,2938,182210,8.4,358,1
4203,姐姐的妄想日记,1153059,19550,862,69427,9.1,185,1
4205,恶魔之谜,713320,39144,2121,110446,9.1,462,1
4216,百合熊风暴,116434,9972,467,31023,9.5,199,1
4218,极黑的布伦希尔德,1908640,129396,4093,267446,7.8,579,1
4224,雾熊s,126265,662,65,2743,0.0,0,1
4230,上课小动作 OAD,709530,24585,440,27313,0.0,0,1
4232,弁魔士塞西尔,44731,787,191,5677,0.0,0,1
4234,白砂糖战士,225538,630,60,30835,0.0,0,1
4236,乔瓦尼之岛,96873,3833,185,22414,0.0,0,1
4259,圣诞老人公司,35242,1040,23,7198,0.0,0,1
4267,敢达Reconguista in G,218873,9551,251,16492,8.8,107,1
4268,敢达创战者 TRY,607630,24349,445,20503,8.6,127,1
4271,死亡台球,228409,5760,265,30046,0.0,0,1
4272,弥留之国的爱丽丝,235608,4333,196,9111,0.0,0,1
4277,古町与团五郎,5578,65,11,440,0.0,0,1
4285,RE：人造人009,102873,6906,112,5041,0.0,0,1
4294,不才・秋山优花里的战车讲座,614673,11920,369,13956,0.0,0,1
4300,DEPTH OF FIELD ～ 爱与憎恨的剧场,1024728,25358,1278,82470,9.1,110,1
4301,法外制裁者 OAD,207161,6072,98,10352,0.0,0,1
4302,新世界 未来篇,87818,920,61,18305,0.0,0,1
4303,伏 铁炮娘的捕物帐,59684,3125,261,45694,0.0,0,1
4304,金田一少年事件簿 黒魔术杀人事件,202536,6566,128,16607,0.0,0,1
4305,噬谎者 OVA,76930,701,31,4906,0.0,0,1
4309,圣哥传 OAD,259962,7305,356,8826,0.0,0,1
4312,温泉巡礼,113729,877,62,28957,0.0,0,1
4313,质量效应：迷途楷模,341105,3309,106,6105,0.0,0,1
4315,魔法少女☆伊莉雅 2wei! SP,2465067,24899,993,35995,0.0,0,1
4318,魔法少女☆伊莉雅 SP,0,0,0,43874,9.2,120,1
4319,魔法少女☆伊莉雅 2wei Herz! SP,1519124,14253,1247,31931,9.3,106,1
4320,NEXT A-Class,56019,786,46,8812,0.0,0,1
4321,野生动物宝宝 第一季,15964,208,14,369,0.0,0,1
4322,野生动物宝宝 第二季,12383,237,6,172,0.0,0,1
4323,枪械少女 OAD,37650,954,36,2770,0.0,0,1
4333,堀桑与宫村君,190948,3981,373,26857,9.6,128,1
4340,中二病也要谈恋爱！,10504187,1190087,36881,939381,9.4,2467,1
4341,旋风管家 CAN'T TAKE MY EYES OFF YOU,440654,15359,989,81560,9.2,134,1
4347,魔劍姬！通【僅限港澳台地區】,8622,149,14,16870,0.0,0,1
4349,中二病也要谈恋爱！恋,23578270,1339047,72036,577870,9.1,1654,1
4351,中二病也要谈恋爱！恋 Lite,1150888,21384,917,97945,9.5,176,1
4355,告白实行委员会 告白预演,1999305,28767,1749,161726,9.3,150,1
4356,告白实行委员会 嫉忌的答复,0,0,0,67859,9.3,117,1
4367,魔法战争,1378797,62188,1578,159769,3.8,571,1
4374,敢达创战者,860751,35866,972,38839,9.6,244,1
4375,钻石王牌,595001,47502,1140,24694,9.6,197,1
4378,神奇宝贝 起源,983648,44870,755,37709,9.6,136,1
4380,眼镜部,51312,1724,62,10146,0.0,0,1
4382,當不成勇者的我，只好認真找工作（僅限港澳台地區）,3522275,101798,1604,203191,8.6,358,1
4383,夜樱四重奏 月之泣,171222,4494,201,6049,0.0,0,1
4384,大怪兽RUSH,444123,3088,164,6167,0.0,0,1
4388,机巧少女不会受伤,4195755,227185,10432,576001,8.6,922,1
4392,兄弟战争OVA,0,0,0,56090,0.0,0,1
4398,南家三姐妹 夏日假期,289578,13989,965,19455,0.0,0,1
4400,弹丸论破,4618790,278368,10992,389075,8.7,1019,1
4404,BLOOD LAD 血意少年,1342723,23586,2396,188468,9.3,465,1
4427,迷你加尔刚蒂亚,85583,1357,83,3437,0.0,0,1
4432,巧克力小狗,48361,1311,31,5462,0.0,0,1
4435,旋风管家 Cuties,305481,11580,695,34656,9.4,117,1
4438,听爸爸的话！OAD,1200650,40895,3469,35314,9.7,405,1
4440,恋旅～True Tours Nanto～,380589,9654,456,57282,0.0,0,1
4442,裁断分离之罪恶剪刀,461413,190812,885,72078,8.2,114,1
4446,Code Geass 反叛的鲁路修 娜娜莉梦游仙境,0,0,0,72333,9.5,590,1
4447,小加速世界,489615,6857,166,20268,0.0,0,1
4451,古斯柯布多力传记,89434,3947,132,22468,0.0,0,1
4455,偶像大师 闪耀祭典,82605,4380,210,7326,0.0,0,1
4462,对某飞行员的追忆,87087,4810,362,21522,9.2,103,1
4464,老虎和兔子：诞生,65499,3395,87,5664,0.0,0,1
4467,桥的那一边,54427,531,62,21006,0.0,0,1
4471,拜托了 爱因兹贝伦咨询室,1421624,29501,1417,73245,9.0,345,1
4472,永远之久远,453785,9839,634,69521,8.8,104,1
4473,蟑螂娘,271649,12564,147,11539,0.0,0,1
4475,比克提尼与白英雄 雷希拉姆,97427,1913,86,5620,0.0,0,1
4477,比克提尼与黑英雄 捷克罗姆,126392,4300,145,6494,0.0,0,1
4482,乃木坂春香的秘密 Finale♪,305183,23276,649,18145,0.0,0,1
4488,Xi AVANT,42375,366,9,9788,0.0,0,1
4498,妖精的尾巴 剧场版 凤凰巫女,240961,6331,1383,26506,9.6,238,1
4508,宝石宠物 剧场版 甜蜜舞蹈公主,39486,616,17,3926,0.0,0,1
4509,解谜公主是名侦探,73253,1139,32,7531,0.0,0,1
4524,是魔法使的话就吃味噌,92960,3951,34,13428,0.0,0,1
4533,萌幻变身,38764,2466,30,5789,0.0,0,1
4538,温柔进行曲-The Tender March-,27833,401,119,15707,0.0,0,1
4541,玛丽莫之花~最强武斗派小学生传说~,49402,827,7,4592,0.0,0,1
4544,给桃子的信,730942,33560,1700,70525,0.0,0,1
4545,滑过河面的风,188490,3889,195,13023,0.0,0,1
4552,野良剧,32164,486,42,8791,0.0,0,1
4553,初音岛I&II P.S.P. RE-ANIMATED OVA,58786,1321,64,13163,0.0,0,1
4555,你看起来很好吃,622044,13201,731,60022,9.7,526,1
4578,农业娘,6473,98,9,646,0.0,0,1
4582,视而不见,29748,1225,95,10021,0.0,0,1
4584,Blossom,48176,515,183,13267,0.0,0,1
4585,勇者大冒险 番外篇,2459922,168930,22020,75090,9.6,520,1
4586,黑执事II,1062020,114420,2650,174908,9.6,1254,1
4592,海底小纵队 第一季,170421,7412,164,4400,0.0,0,1
4593,海底小纵队 第二季,80568,1586,57,1477,0.0,0,1
4594,海底小纵队 第三季,138096,1708,97,2121,0.0,0,1
4598,诺亚动物诊所病历记录簿,327058,4130,265,39359,0.0,0,1
4600,时光钟摆,59854,453,1092,7747,9.6,138,1
4601,浮浮啾啾,34039,907,41,11454,0.0,0,1
4603,流★星LENS,198650,2895,113,22259,0.0,0,1
4606,侠猪布塔,26260,1354,17,5791,0.0,0,1
4608,剧场传说,58407,1306,40,3997,0.0,0,1
4610,百合星人奈绪子OVA,101252,6116,266,7287,0.0,0,1
4612,实乃里Scramble!,17264,1833,20,2712,0.0,0,1
4616,欺负 OAD,41950,900,24,4565,0.0,0,1
4620,.hack//世界的彼方,124491,12666,236,20355,0.0,0,1
4622,Sacred Seven 银月之翼,46325,1625,25,4444,0.0,0,1
4626,偷影子的老鼠,38583,360,211,13305,0.0,0,1
4638,私立堀镡学园 番外篇,235105,2931,207,33413,0.0,0,1
4642,祝福的钟声,166696,4518,209,26887,0.0,0,1
4653,超级街头霸王4,155950,1959,190,4700,0.0,0,1
4654,游戏王剧场版 超融合！超越时空的羁绊,1102005,31001,1543,29546,9.4,262,1
4670,妖魔同邻足洗邸 OAD,63615,154,18,5593,0.0,0,1
4677,11eyes-罪与罚与赎的少女-,901808,42015,1149,128343,5.4,182,1
4678,猴兔超人,3846,79,9,327,0.0,0,1
4682,宵星传说～首鸣～,33098,778,126,20763,0.0,0,1
4686,枪神剧场版,119796,2225,256,15365,0.0,0,1
4697,女神异闻录 -圣洁之魂-,218550,10255,179,29134,0.0,0,1
4705,狗/子弹&屠杀,129089,2719,65,31366,0.0,0,1
4714,茄子 带着旅行箱的候鸟,0,0,0,2974,0.0,0,1
4720,最终幻想VII：降临之子,740208,22184,1199,63582,9.7,223,1
4723,乡村医生,0,0,0,14950,0.0,0,1
4728,萝莉的时间,592783,58809,1661,71869,9.5,127,1
4734,鹤屋和熏干酪,77489,1399,91,7465,0.0,0,1
4735,小凉宫春日的忧郁,480017,8549,617,47327,9.6,159,1
4736,苹果核战记2,114848,2016,75,12813,0.0,0,1
4737,草莓棉花糖 encore,0,0,0,4829,0.0,0,1
4738,铁腕巴迪 DECODE 第二季,30699,916,87,2788,0.0,0,1
4748,地狱天使,152368,13864,742,22532,0.0,0,1
4750,生化危机 恶化,358557,10616,314,32597,9.5,132,1
4760,河童之夏,258881,20272,757,48006,9.5,100,1
4761,天才嘉年华,101165,2570,180,18498,0.0,0,1
4762,Ragnastrike Angels,1168815,1958,529,33191,0.0,0,1
4763,七色星露,200303,5942,173,22642,0.0,0,1
4769,钢琴之森,363363,15188,654,78581,9.3,159,1
4771,少年阿贝 GO!GO!小芝麻,417650,9458,643,15467,0.0,0,1
4773,神奇宝贝不可思议的迷宫 时之探险队・暗之探险队,277002,4400,109,11414,0.0,0,1
